Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
_CASH,_CASH,Cash Deposit,2008-01-02 16:00:00,,,,,10000.0,,
AAPL,AAPL,Buy,2008-01-03 16:00:00,0.966413699128,0.966413699128,25.0,194.1,4852.5,25.0,9649.81,5.0,4.82,
GOOG,GOOG,Buy,2008-01-03 16:00:00,0.966413699128,0.966413699128,7.0,685.33,4797.31,7.0,9649.81,5.0,4.82,
AAPL,AAPL,Buy,2008-02-01 16:00:00,0.951185235375,0.951185235375,23.0,133.18,3063.14,48.0,6908.54,5.0,3.08,
GOOG,GOOG,Sell,2008-02-01 16:00:00,0.951185235375,0.951185235375,-6.0,515.9,-3095.4,1.0,6908.54,5.0,3.08,
AAPL,AAPL,Sell,2008-03-03 16:00:00,0.980421467337,0.980421467337,-2.0,121.21,-242.42,46.0,6489.7,5.0,0.35,
GOOG,GOOG,Buy,2008-03-03 16:00:00,0.980421467337,0.980421467337,1.0,457.02,457.02,2.0,6489.7,5.0,0.35,
AAPL,AAPL,Sell,2008-04-01 16:00:00,0.948066245376,0.948066245376,-27.0,148.89,-4020.03,19.0,7486.01,5.0,3.87,
GOOG,GOOG,Buy,2008-04-01 16:00:00,0.948066245376,0.948066245376,8.0,465.71,3725.68,10.0,7486.01,5.0,3.87,
AAPL,AAPL,Buy,2008-05-01 16:00:00,0.967579429955,0.967579429955,17.0,179.23,3046.91,36.0,9417.68,5.0,3.01,
GOOG,GOOG,Sell,2008-05-01 16:00:00,0.967579429955,0.967579429955,-5.0,593.08,-2965.4,5.0,9417.68,5.0,3.01,
AAPL,AAPL,Sell,2008-06-02 16:00:00,0.993771072986,0.993771072986,-8.0,185.3,-1482.4,28.0,9788.4,5.0,1.6,
GOOG,GOOG,Buy,2008-06-02 16:00:00,0.993771072986,0.993771072986,3.0,575.0,1725.0,8.0,9788.4,5.0,1.6,
AAPL,AAPL,Sell,2008-07-01 16:00:00,0.995881470876,0.995881470876,-3.0,173.93,-521.79,25.0,9160.82,5.0,0.53,
GOOG,GOOG,Buy,2008-07-01 16:00:00,0.995881470876,0.995881470876,1.0,534.73,534.73,9.0,9160.82,5.0,0.53,
AAPL,AAPL,Sell,2008-08-01 16:00:00,0.977757376249,0.977757376249,-25.0,155.99,-3899.75,0.0,7953.62,5.0,3.82,
GOOG,GOOG,Buy,2008-08-01 16:00:00,0.977757376249,0.977757376249,8.0,467.86,3742.88,17.0,7953.62,5.0,3.82,
AAPL,AAPL,Buy,2008-09-02 16:00:00,0.928210740052,0.928210740052,20.0,165.48,3309.6,20.0,7496.85,5.0,3.52,
GOOG,GOOG,Sell,2008-09-02 16:00:00,0.928210740052,0.928210740052,-8.0,465.25,-3722.0,9.0,7496.85,5.0,3.52,
AAPL,AAPL,Sell,2008-10-01 16:00:00,0.938342515863,0.938342515863,-6.0,108.65,-651.9,14.0,6050.02,5.0,0.74,
GOOG,GOOG,Buy,2008-10-01 16:00:00,0.938342515863,0.938342515863,2.0,411.72,823.44,11.0,6050.02,5.0,0.74,
