Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
_CASH,_CASH,Cash Deposit,2011-01-14 16:00:00,,,,,1000000,,
AAPL,AAPL,Buy,2011-01-18 16:00:00,0.977693952966,0.977693952966,2881.0,339.19,977206.39,2881.0,977206.39,10.0835,488.6,
AAPL,AAPL,Sell,2011-01-19 16:00:00,1.02241043581,1.02241043581,-1619.0,337.39,-546234.41,1262.0,1015997.84,5.6665,568.22,
IBM,IBM,Buy,2011-01-19 16:00:00,1.02241043581,1.02241043581,3903.0,151.22,590211.66,3903.0,1015997.84,13.6605,568.22,
GOOG,GOOG,Buy,2011-01-31 16:00:00,0.990793188551,0.990793188551,667.0,600.36,400440.12,667.0,1008268.25,5.0,598.01,
AAPL,AAPL,Buy,2011-01-31 16:00:00,0.990793188551,0.990793188551,537.0,337.87,181436.19,1799.0,1008268.25,5.0,598.01,
IBM,IBM,Sell,2011-01-31 16:00:00,0.990793188551,0.990793188551,-3903.0,157.35,-614137.05,0.0,1008268.25,13.6605,598.01,
GOOG,GOOG,Sell,2011-02-04 16:00:00,0.995709487348,0.995709487348,-667.0,610.98,-407523.66,0.0,1032345.96,5.0,746.67,
AAPL,AAPL,Sell,2011-02-04 16:00:00,0.995709487348,0.995709487348,-977.0,345.02,-337084.54,822.0,1032345.96,5.0,746.67,
XOM,XOM,Buy,2011-02-04 16:00:00,0.995709487348,0.995709487348,9378.0,79.84,748739.52,9378.0,1032345.96,32.823,746.67,
AAPL,AAPL,Sell,2011-02-11 16:00:00,0.999705747525,0.999705747525,-14.0,355.32,-4974.48,808.0,1044655.08,5.0,7.04,
XOM,XOM,Buy,2011-02-11 16:00:00,0.999705747525,0.999705747525,114.0,79.81,9098.34,9492.0,1044655.08,5.0,7.04,
GOOG,GOOG,Buy,2011-03-02 16:00:00,0.998742271287,0.998742271287,374.0,600.79,224695.46,374.0,1059683.33,5.0,777.32,
AAPL,AAPL,Buy,2011-03-02 16:00:00,0.998742271287,0.998742271287,161.0,350.61,56448.21,969.0,1059683.33,5.0,777.32,
XOM,XOM,Sell,2011-03-02 16:00:00,0.998742271287,0.998742271287,-9492.0,81.99,-778249.08,0.0,1059683.33,33.222,777.32,
IBM,IBM,Buy,2011-03-02 16:00:00,0.998742271287,0.998742271287,3171.0,156.18,495246.78,3171.0,1059683.33,11.0985,777.32,
GOOG,GOOG,Sell,2011-06-02 16:00:00,0.998478775563,0.998478775563,-374.0,528.06,-197494.44,0.0,1046842.66,5.0,203.11,
AAPL,AAPL,Sell,2011-06-02 16:00:00,0.998478775563,0.998478775563,-17.0,344.62,-5858.54,952.0,1046842.66,5.0,203.11,
IBM,IBM,Buy,2011-06-02 16:00:00,0.998478775563,0.998478775563,1247.0,162.69,202874.43,4418.0,1046842.66,5.0,203.11,
AAPL,AAPL,Buy,2011-05-23 16:00:00,0.99482340212,0.99482340212,618.0,332.97,205775.46,1570.0,1041121.8,5.0,207.8,
IBM,IBM,Sell,2011-05-23 16:00:00,0.99482340212,0.99482340212,-1273.0,164.82,-209815.86,3145.0,1041121.8,5.0,207.8,
AAPL,AAPL,Buy,2011-06-10 16:00:00,0.996749665679,0.996749665679,1554.0,324.51,504288.54,3124.0,1013769.24,5.439,503.49,
IBM,IBM,Sell,2011-06-10 16:00:00,0.996749665679,0.996749665679,-3145.0,159.84,-502696.8,0.0,1013769.24,11.0075,503.49,
GOOG,GOOG,Buy,2011-08-09 16:00:00,0.999545546573,0.999545546573,71.0,573.41,40712.11,71.0,1166135.13,5.0,39.35,
AAPL,AAPL,Sell,2011-08-09 16:00:00,0.999545546573,0.999545546573,-102.0,372.41,-37985.82,3022.0,1166135.13,5.0,39.35,
GOOG,GOOG,Buy,2011-08-11 16:00:00,0.999880505768,0.999880505768,2.0,562.13,1124.26,73.0,1164777.49,5.0,0.93,
AAPL,AAPL,Sell,2011-08-11 16:00:00,0.999880505768,0.999880505768,-2.0,372.1,-744.2,3020.0,1164777.49,5.0,0.93,
GOOG,GOOG,Sell,2011-12-14 16:00:00,0.99955123551,0.99955123551,-73.0,618.07,-45119.11,0.0,1187921.28,5.0,44.89,
AAPL,AAPL,Buy,2011-12-14 16:00:00,0.99955123551,0.99955123551,118.0,378.56,44670.08,3138.0,1187921.28,5.0,44.89,
_CASH,_CASH,Cash Deposit,2011-12-13 16:00:00,,,,,0,,
