Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
_CASH,_CASH,Cash Deposit,2011-01-18 16:00:00,,,,,1000000,,
IBM,IBM,Buy,2011-01-19 16:00:00,1.0338451139,1.0338451139,6833.0,151.22,1033286.26,6833.0,1033286.26,23.9155,516.64,
GOOG,GOOG,Buy,2011-01-31 16:00:00,0.995725045426,0.995725045426,340.0,600.36,204122.4,340.0,1036661.25,5.0,223.38,
IBM,IBM,Sell,2011-01-31 16:00:00,0.995725045426,0.995725045426,-1542.0,157.35,-242633.7,5291.0,1036661.25,5.397,223.38,
GOOG,GOOG,Sell,2011-02-04 16:00:00,0.997989947722,0.112780606553,-149.0,610.98,-91036.02,191.0,118931.74,5.0,465.83,
XOM,XOM,Sell Short,2011-02-04 16:00:00,0.997989947722,0.112780606553,-5846.0,79.84,-466744.64,-5846.0,118931.74,20.461,465.83,
IBM,IBM,Sell,2011-02-04 16:00:00,0.997989947722,0.112780606553,-2347.0,159.3,-373877.1,2944.0,118931.74,8.2145,465.83,
GOOG,GOOG,Buy,2011-02-11 16:00:00,0.998903747261,0.998903747261,151.0,624.5,94299.5,342.0,1056738.06,5.0,466.82,
XOM,XOM,Buy,2011-02-11 16:00:00,0.998903747261,0.998903747261,5846.0,79.81,466569.26,0.0,1056738.06,20.461,466.82,
IBM,IBM,Buy,2011-02-11 16:00:00,0.998903747261,0.998903747261,2333.0,159.78,372766.74,5277.0,1056738.06,8.1655,466.82,
GOOG,GOOG,Sell,2011-03-02 16:00:00,1.00035760879,1.00035760879,-342.0,600.79,-205470.18,0.0,1030944.18,5.0,206.13,
IBM,IBM,Buy,2011-03-02 16:00:00,1.00035760879,1.00035760879,1324.0,156.18,206782.32,6601.0,1030944.18,5.0,206.13,
IBM,IBM,Sell,2011-06-02 16:00:00,0.999893545887,0.999893545887,-3.0,162.69,-488.07,6598.0,1073428.62,5.0,0.24,
IBM,IBM,Sell,2011-05-23 16:00:00,0.978693481485,0.978693481485,-140.0,164.82,-23074.8,6458.0,1064407.56,5.0,11.54,
AAPL,AAPL,Buy,2011-06-10 16:00:00,0.99383264069,0.99383264069,3229.0,324.51,1047842.79,3229.0,1047842.79,11.3015,1040.04,
IBM,IBM,Sell,2011-06-10 16:00:00,0.99383264069,0.99383264069,-6458.0,159.84,-1032246.72,0.0,1047842.79,22.603,1040.04,
GOOG,GOOG,Buy,2011-08-09 16:00:00,0.999634496949,0.999634496949,91.0,573.41,52180.31,91.0,1208513.36,5.0,49.18,
AAPL,AAPL,Sell,2011-08-09 16:00:00,0.999634496949,0.999634496949,-124.0,372.41,-46178.84,3105.0,1208513.36,5.0,49.18,
GOOG,GOOG,Sell,2011-08-11 16:00:00,1.00015546466,1.00015546466,-91.0,562.13,-51153.83,0.0,1207092.4,5.0,51.44,
AAPL,AAPL,Buy,2011-08-11 16:00:00,1.00015546466,1.00015546466,139.0,372.1,51721.9,3244.0,1207092.4,5.0,51.44,
_CASH,_CASH,Cash Deposit,2011-12-13 16:00:00,,,,,0,,
